epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.4825599193572998,1.4825599193572998
0,42,4.383731842041016,,,
1,49,,1.254662275314331,,
1,85,,,1.2729690074920654,1.2729690074920654
1,85,1.2135597467422485,,,
2,99,,1.3733302354812622,,
2,128,,,1.2537301778793335,1.2537301778793335
2,128,1.1967642307281494,,,
3,149,,0.7601882219314575,,
3,171,,,1.2575663328170776,1.2575663328170776
3,171,1.1860620975494385,,,
4,199,,0.9483639597892761,,
4,214,,,1.3084478378295898,1.3084478378295898
4,214,1.1425641775131226,,,
5,249,,1.2025814056396484,,
5,257,,,1.2522268295288086,1.2522268295288086
5,257,1.218845009803772,,,
6,299,,1.2328746318817139,,
6,300,,,1.2526414394378662,1.2526414394378662
6,300,1.1540230512619019,,,
7,343,,,1.3818614482879639,1.3818614482879639
7,343,1.1867294311523438,,,
8,349,,1.0896714925765991,,
8,386,,,1.1952393054962158,1.1952393054962158
8,386,1.1499775648117065,,,
9,399,,0.8829793334007263,,
9,429,,,1.3222576379776,1.3222576379776
9,429,1.1464992761611938,,,
10,449,,1.6887112855911255,,
10,472,,,1.203318476676941,1.203318476676941
10,472,1.188107967376709,,,
11,499,,1.38996160030365,,
11,515,,,1.1961745023727417,1.1961745023727417
11,515,1.1280916929244995,,,
12,549,,1.1347401142120361,,
12,558,,,1.3090496063232422,1.3090496063232422
12,558,1.1327989101409912,,,
13,599,,1.3489826917648315,,
13,601,,,1.2749381065368652,1.2749381065368652
13,601,1.1445025205612183,,,
14,644,,,1.1894216537475586,1.1894216537475586
14,644,1.109474539756775,,,
15,649,,1.3036296367645264,,
15,687,,,1.1833908557891846,1.1833908557891846
15,687,1.11339271068573,,,
16,699,,1.0623834133148193,,
16,730,,,1.192246675491333,1.192246675491333
16,730,1.0922082662582397,,,
17,749,,0.9288403987884521,,
17,773,,,1.1792951822280884,1.1792951822280884
17,773,1.1034162044525146,,,
18,799,,1.1353940963745117,,
18,816,,,1.1843010187149048,1.1843010187149048
18,816,1.1108335256576538,,,
19,849,,0.8824144005775452,,
19,859,,,1.1905181407928467,1.1905181407928467
19,859,1.0890753269195557,,,
20,899,,1.2674341201782227,,
20,902,,,1.1975884437561035,1.1975884437561035
20,902,1.1163145303726196,,,
21,945,,,1.2254210710525513,1.2254210710525513
21,945,1.0788054466247559,,,
22,949,,1.0293618440628052,,
22,988,,,1.2156035900115967,1.2156035900115967
22,988,1.075251579284668,,,
23,999,,1.0581698417663574,,
23,1031,,,1.194313406944275,1.194313406944275
23,1031,1.0750564336776733,,,
24,1049,,1.2706602811813354,,
24,1074,,,1.3507874011993408,1.3507874011993408
24,1074,1.0965479612350464,,,
25,1099,,1.3434988260269165,,
25,1117,,,1.1923452615737915,1.1923452615737915
25,1117,1.0884371995925903,,,
26,1149,,1.0853694677352905,,
26,1160,,,1.1880937814712524,1.1880937814712524
26,1160,1.0584100484848022,,,
27,1199,,0.7732356786727905,,
27,1203,,,1.2029516696929932,1.2029516696929932
27,1203,1.0519100427627563,,,
28,1246,,,1.1911118030548096,1.1911118030548096
28,1246,1.0766832828521729,,,
29,1249,,0.9676445126533508,,
29,1289,,,1.1958038806915283,1.1958038806915283
29,1289,1.0548317432403564,,,
30,1299,,1.445701003074646,,
30,1332,,,1.2032502889633179,1.2032502889633179
30,1332,1.0699578523635864,,,
31,1349,,1.0434476137161255,,
31,1375,,,1.193274974822998,1.193274974822998
31,1375,1.037967324256897,,,
32,1399,,1.0791670083999634,,
32,1418,,,1.2254983186721802,1.2254983186721802
32,1418,1.033360242843628,,,
33,1449,,0.9929960370063782,,
33,1461,,,1.1947214603424072,1.1947214603424072
33,1461,1.046089768409729,,,
34,1499,,0.9028413891792297,,
34,1504,,,1.2238500118255615,1.2238500118255615
34,1504,1.0301111936569214,,,
35,1547,,,1.1949654817581177,1.1949654817581177
35,1547,1.0342732667922974,,,
36,1549,,0.9933041334152222,,
36,1590,,,1.236599326133728,1.236599326133728
36,1590,1.0394785404205322,,,
37,1599,,1.0829267501831055,,
37,1633,,,1.2089529037475586,1.2089529037475586
37,1633,1.0373156070709229,,,
38,1649,,1.124779462814331,,
38,1676,,,1.2266308069229126,1.2266308069229126
38,1676,1.0337917804718018,,,
39,1699,,0.9205997586250305,,
39,1719,,,1.2002466917037964,1.2002466917037964
39,1719,1.011507511138916,,,
40,1749,,0.8234372735023499,,
40,1762,,,1.2056182622909546,1.2056182622909546
40,1762,1.024123191833496,,,
41,1799,,0.7152406573295593,,
41,1805,,,1.2688510417938232,1.2688510417938232
41,1805,1.0151139497756958,,,
42,1848,,,1.2574118375778198,1.2574118375778198
42,1848,1.0183725357055664,,,
43,1849,,0.730272650718689,,
43,1891,,,1.2194956541061401,1.2194956541061401
43,1891,1.0062211751937866,,,
44,1899,,1.0664443969726562,,
44,1934,,,1.2022507190704346,1.2022507190704346
44,1934,1.001403570175171,,,
45,1949,,1.1518962383270264,,
45,1977,,,1.2025524377822876,1.2025524377822876
45,1977,0.9962198734283447,,,
46,1999,,1.3593223094940186,,
46,2020,,,1.210109829902649,1.210109829902649
46,2020,0.9973046779632568,,,
47,2049,,0.9154437184333801,,
47,2063,,,1.2091187238693237,1.2091187238693237
47,2063,1.0008658170700073,,,
48,2099,,1.1599013805389404,,
48,2106,,,1.209723949432373,1.209723949432373
48,2106,0.9854719042778015,,,
49,2149,,1.6222835779190063,,
49,2149,,,1.237298846244812,1.237298846244812
49,2149,0.9931292533874512,,,
