epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.60140860080719,1.60140860080719
0,42,4.444734573364258,,,
1,49,,1.5216962099075317,,
1,85,,,1.3026586771011353,1.3026586771011353
1,85,1.24526047706604,,,
2,99,,1.517301082611084,,
2,128,,,1.408080816268921,1.408080816268921
2,128,1.2292965650558472,,,
3,149,,1.434295654296875,,
3,171,,,1.2407021522521973,1.2407021522521973
3,171,1.195982575416565,,,
4,199,,1.1989916563034058,,
4,214,,,1.3126784563064575,1.3126784563064575
4,214,1.1732991933822632,,,
5,249,,1.3577723503112793,,
5,257,,,1.254443883895874,1.254443883895874
5,257,1.2157940864562988,,,
6,299,,0.9763650298118591,,
6,300,,,1.2549307346343994,1.2549307346343994
6,300,1.1485668420791626,,,
7,343,,,1.235449194908142,1.235449194908142
7,343,1.1439123153686523,,,
8,349,,0.9538617134094238,,
8,386,,,1.275007724761963,1.275007724761963
8,386,1.1511338949203491,,,
9,399,,1.0419288873672485,,
9,429,,,1.2321884632110596,1.2321884632110596
9,429,1.1113247871398926,,,
10,449,,0.9428149461746216,,
10,472,,,1.240647792816162,1.240647792816162
10,472,1.1198655366897583,,,
11,499,,1.2455021142959595,,
11,515,,,1.2563740015029907,1.2563740015029907
11,515,1.108587622642517,,,
12,549,,1.3909270763397217,,
12,558,,,1.2403264045715332,1.2403264045715332
12,558,1.1159929037094116,,,
13,599,,1.63734769821167,,
13,601,,,1.3642752170562744,1.3642752170562744
13,601,1.0977851152420044,,,
14,644,,,1.2323124408721924,1.2323124408721924
14,644,1.1057078838348389,,,
15,649,,1.057989478111267,,
15,687,,,1.2333972454071045,1.2333972454071045
15,687,1.0973117351531982,,,
16,699,,1.1975594758987427,,
16,730,,,1.2377012968063354,1.2377012968063354
16,730,1.0888117551803589,,,
17,749,,1.1344358921051025,,
17,773,,,1.2386373281478882,1.2386373281478882
17,773,1.0791362524032593,,,
18,799,,1.0316133499145508,,
18,816,,,1.2607042789459229,1.2607042789459229
18,816,1.0822842121124268,,,
19,849,,1.459467887878418,,
19,859,,,1.3626794815063477,1.3626794815063477
19,859,1.0981602668762207,,,
20,899,,1.3768218755722046,,
20,902,,,1.2358078956604004,1.2358078956604004
20,902,1.0793330669403076,,,
21,945,,,1.2553925514221191,1.2553925514221191
21,945,1.0713348388671875,,,
22,949,,1.0656076669692993,,
22,988,,,1.2332448959350586,1.2332448959350586
22,988,1.0811784267425537,,,
23,999,,0.9797174334526062,,
23,1031,,,1.2432019710540771,1.2432019710540771
23,1031,1.064296841621399,,,
24,1049,,1.3147262334823608,,
24,1074,,,1.2580773830413818,1.2580773830413818
24,1074,1.0757663249969482,,,
25,1099,,1.0174708366394043,,
25,1117,,,1.230219841003418,1.230219841003418
25,1117,1.0709296464920044,,,
26,1149,,0.8634270429611206,,
26,1160,,,1.2422150373458862,1.2422150373458862
26,1160,1.0559896230697632,,,
27,1199,,0.7109428644180298,,
27,1203,,,1.2421196699142456,1.2421196699142456
27,1203,1.0469237565994263,,,
28,1246,,,1.2445695400238037,1.2445695400238037
28,1246,1.04900324344635,,,
29,1249,,0.9387640357017517,,
29,1289,,,1.253705382347107,1.253705382347107
29,1289,1.0398149490356445,,,
30,1299,,0.9105398654937744,,
30,1332,,,1.2410014867782593,1.2410014867782593
30,1332,1.0354740619659424,,,
31,1349,,1.2965105772018433,,
31,1375,,,1.2557493448257446,1.2557493448257446
31,1375,1.035325288772583,,,
32,1399,,1.3993948698043823,,
32,1418,,,1.3372224569320679,1.3372224569320679
32,1418,1.0317400693893433,,,
33,1449,,0.9036080837249756,,
33,1461,,,1.2392772436141968,1.2392772436141968
33,1461,1.0599383115768433,,,
34,1499,,0.9834703803062439,,
34,1504,,,1.2431821823120117,1.2431821823120117
34,1504,1.043306827545166,,,
35,1547,,,1.2449342012405396,1.2449342012405396
35,1547,1.0252342224121094,,,
36,1549,,1.145587682723999,,
36,1590,,,1.2611714601516724,1.2611714601516724
36,1590,1.0200042724609375,,,
37,1599,,0.9693592190742493,,
37,1633,,,1.239128589630127,1.239128589630127
37,1633,1.0173364877700806,,,
38,1649,,0.8750932812690735,,
38,1676,,,1.2329914569854736,1.2329914569854736
38,1676,1.0174070596694946,,,
39,1699,,1.0641437768936157,,
39,1719,,,1.3082034587860107,1.3082034587860107
39,1719,1.0266927480697632,,,
40,1749,,0.9334005117416382,,
40,1762,,,1.2427244186401367,1.2427244186401367
40,1762,1.0138721466064453,,,
41,1799,,1.072773814201355,,
41,1805,,,1.235586404800415,1.235586404800415
41,1805,1.012941837310791,,,
42,1848,,,1.231405258178711,1.231405258178711
42,1848,1.0000958442687988,,,
43,1849,,0.9720296263694763,,
43,1891,,,1.2507399320602417,1.2507399320602417
43,1891,1.0029135942459106,,,
44,1899,,1.2111332416534424,,
44,1934,,,1.2657155990600586,1.2657155990600586
44,1934,0.9963085055351257,,,
45,1949,,0.7417356371879578,,
45,1977,,,1.248589038848877,1.248589038848877
45,1977,0.9987979531288147,,,
46,1999,,1.17588210105896,,
46,2020,,,1.256906509399414,1.256906509399414
46,2020,0.9916530847549438,,,
47,2049,,0.8241331577301025,,
47,2063,,,1.2782565355300903,1.2782565355300903
47,2063,0.9884011149406433,,,
48,2099,,1.137646198272705,,
48,2106,,,1.2637344598770142,1.2637344598770142
48,2106,0.9918681979179382,,,
49,2149,,1.3709341287612915,,
49,2149,,,1.2374069690704346,1.2374069690704346
49,2149,0.9862250685691833,,,
