epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.4636402130126953,1.4636402130126953
0,42,4.320328712463379,,,
1,49,,1.5888476371765137,,
1,85,,,1.0786596536636353,1.0786596536636353
1,85,1.247280478477478,,,
2,99,,1.1418006420135498,,
2,128,,,1.074717402458191,1.074717402458191
2,128,1.2242331504821777,,,
3,149,,0.988555908203125,,
3,171,,,1.0670908689498901,1.0670908689498901
3,171,1.2132844924926758,,,
4,199,,1.1559977531433105,,
4,214,,,1.0470316410064697,1.0470316410064697
4,214,1.237537145614624,,,
5,249,,1.1483149528503418,,
5,257,,,1.0464892387390137,1.0464892387390137
5,257,1.2096785306930542,,,
6,299,,1.1437404155731201,,
6,300,,,1.1234806776046753,1.1234806776046753
6,300,1.1972264051437378,,,
7,343,,,1.0822656154632568,1.0822656154632568
7,343,1.203006386756897,,,
8,349,,1.1638576984405518,,
8,386,,,1.0310510396957397,1.0310510396957397
8,386,1.1876436471939087,,,
9,399,,1.3081976175308228,,
9,429,,,1.017148494720459,1.017148494720459
9,429,1.1795474290847778,,,
10,449,,1.3838305473327637,,
10,472,,,1.014974594116211,1.014974594116211
10,472,1.1860325336456299,,,
11,499,,1.6287484169006348,,
11,515,,,1.0212788581848145,1.0212788581848145
11,515,1.160626769065857,,,
12,549,,1.0483157634735107,,
12,558,,,1.0430437326431274,1.0430437326431274
12,558,1.1898186206817627,,,
13,599,,1.4037258625030518,,
13,601,,,1.0453110933303833,1.0453110933303833
13,601,1.1896404027938843,,,
14,644,,,1.0214165449142456,1.0214165449142456
14,644,1.1465771198272705,,,
15,649,,1.0424667596817017,,
15,687,,,1.0057989358901978,1.0057989358901978
15,687,1.1429336071014404,,,
16,699,,1.0001099109649658,,
16,730,,,1.0144472122192383,1.0144472122192383
16,730,1.171764612197876,,,
17,749,,0.9827278852462769,,
17,773,,,1.007838249206543,1.007838249206543
17,773,1.1514095067977905,,,
18,799,,1.0440248250961304,,
18,816,,,1.0517430305480957,1.0517430305480957
18,816,1.1528874635696411,,,
19,849,,1.2203482389450073,,
19,859,,,1.022066593170166,1.022066593170166
19,859,1.1416047811508179,,,
20,899,,1.1726802587509155,,
20,902,,,1.0114803314208984,1.0114803314208984
20,902,1.1545528173446655,,,
21,945,,,1.0467199087142944,1.0467199087142944
21,945,1.124571442604065,,,
22,949,,1.1560235023498535,,
22,988,,,1.1105048656463623,1.1105048656463623
22,988,1.1260968446731567,,,
23,999,,0.9108955264091492,,
23,1031,,,1.0136204957962036,1.0136204957962036
23,1031,1.1317837238311768,,,
24,1049,,0.9956194162368774,,
24,1074,,,1.0375638008117676,1.0375638008117676
24,1074,1.1263984441757202,,,
25,1099,,0.818920373916626,,
25,1117,,,1.0858328342437744,1.0858328342437744
25,1117,1.1351937055587769,,,
26,1149,,0.9475901126861572,,
26,1160,,,1.0533292293548584,1.0533292293548584
26,1160,1.1110243797302246,,,
27,1199,,1.310388207435608,,
27,1203,,,1.0358352661132812,1.0358352661132812
27,1203,1.1100871562957764,,,
28,1246,,,1.0542423725128174,1.0542423725128174
28,1246,1.1060419082641602,,,
29,1249,,0.9836351871490479,,
29,1289,,,1.0146151781082153,1.0146151781082153
29,1289,1.1093719005584717,,,
30,1299,,0.9988258481025696,,
30,1332,,,1.00448739528656,1.00448739528656
30,1332,1.133162021636963,,,
31,1349,,0.8756754994392395,,
31,1375,,,1.0037167072296143,1.0037167072296143
31,1375,1.1073607206344604,,,
32,1399,,0.972923219203949,,
32,1418,,,1.0186009407043457,1.0186009407043457
32,1418,1.0987085103988647,,,
33,1449,,0.7628568410873413,,
33,1461,,,1.0042260885238647,1.0042260885238647
33,1461,1.101728916168213,,,
34,1499,,1.1457175016403198,,
34,1504,,,1.0098251104354858,1.0098251104354858
34,1504,1.0890741348266602,,,
35,1547,,,1.00265371799469,1.00265371799469
35,1547,1.0881356000900269,,,
36,1549,,1.244089961051941,,
36,1590,,,1.0078951120376587,1.0078951120376587
36,1590,1.0913821458816528,,,
37,1599,,0.8601003885269165,,
37,1633,,,1.0255115032196045,1.0255115032196045
37,1633,1.0974010229110718,,,
38,1649,,1.0257705450057983,,
38,1676,,,1.0198920965194702,1.0198920965194702
38,1676,1.0866965055465698,,,
39,1699,,0.9911603331565857,,
39,1719,,,1.0353673696517944,1.0353673696517944
39,1719,1.0701836347579956,,,
40,1749,,1.1173596382141113,,
40,1762,,,1.0294675827026367,1.0294675827026367
40,1762,1.0734779834747314,,,
41,1799,,1.4117555618286133,,
41,1805,,,1.0080039501190186,1.0080039501190186
41,1805,1.0773409605026245,,,
42,1848,,,1.0276883840560913,1.0276883840560913
42,1848,1.0717428922653198,,,
43,1849,,1.1934367418289185,,
43,1891,,,1.0246392488479614,1.0246392488479614
43,1891,1.0631065368652344,,,
44,1899,,1.1277878284454346,,
44,1934,,,1.0185084342956543,1.0185084342956543
44,1934,1.0727943181991577,,,
45,1949,,0.8527607917785645,,
45,1977,,,1.0238916873931885,1.0238916873931885
45,1977,1.0560564994812012,,,
46,1999,,1.1851860284805298,,
46,2020,,,1.0213748216629028,1.0213748216629028
46,2020,1.0834062099456787,,,
47,2049,,0.9199017286300659,,
47,2063,,,1.015186071395874,1.015186071395874
47,2063,1.060603141784668,,,
48,2099,,0.7857952117919922,,
48,2106,,,1.0985723733901978,1.0985723733901978
48,2106,1.055957555770874,,,
49,2149,,0.8668718338012695,,
49,2149,,,1.03025221824646,1.03025221824646
49,2149,1.0534803867340088,,,
