epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.4163240194320679,1.4163240194320679
0,42,4.50390625,,,
1,49,,1.1644871234893799,,
1,85,,,1.2816519737243652,1.2816519737243652
1,85,1.194661021232605,,,
2,99,,1.4432557821273804,,
2,128,,,1.2918263673782349,1.2918263673782349
2,128,1.182490587234497,,,
3,149,,1.281996250152588,,
3,171,,,1.267700433731079,1.267700433731079
3,171,1.1631704568862915,,,
4,199,,1.226104497909546,,
4,214,,,1.2610113620758057,1.2610113620758057
4,214,1.2345678806304932,,,
5,249,,1.101789116859436,,
5,257,,,1.2356956005096436,1.2356956005096436
5,257,1.2483597993850708,,,
6,299,,1.1116197109222412,,
6,300,,,1.2882682085037231,1.2882682085037231
6,300,1.1767685413360596,,,
7,343,,,1.3084155321121216,1.3084155321121216
7,343,1.1578422784805298,,,
8,349,,0.9351385235786438,,
8,386,,,1.2058866024017334,1.2058866024017334
8,386,1.1432076692581177,,,
9,399,,1.3800606727600098,,
9,429,,,1.2778788805007935,1.2778788805007935
9,429,1.1554780006408691,,,
10,449,,1.0746524333953857,,
10,472,,,1.242393970489502,1.242393970489502
10,472,1.1316640377044678,,,
11,499,,1.0415056943893433,,
11,515,,,1.3050864934921265,1.3050864934921265
11,515,1.1515852212905884,,,
12,549,,0.9387471079826355,,
12,558,,,1.2226499319076538,1.2226499319076538
12,558,1.1298614740371704,,,
13,599,,1.2470327615737915,,
13,601,,,1.1900029182434082,1.1900029182434082
13,601,1.160104751586914,,,
14,644,,,1.2162888050079346,1.2162888050079346
14,644,1.1802228689193726,,,
15,649,,0.9832417368888855,,
15,687,,,1.1939622163772583,1.1939622163772583
15,687,1.128785490989685,,,
16,699,,0.946962296962738,,
16,730,,,1.2246391773223877,1.2246391773223877
16,730,1.1044747829437256,,,
17,749,,1.1127911806106567,,
17,773,,,1.19054114818573,1.19054114818573
17,773,1.1153265237808228,,,
18,799,,1.3523144721984863,,
18,816,,,1.1916688680648804,1.1916688680648804
18,816,1.1021710634231567,,,
19,849,,1.2208480834960938,,
19,859,,,1.2247811555862427,1.2247811555862427
19,859,1.1138933897018433,,,
20,899,,0.8353617191314697,,
20,902,,,1.2157789468765259,1.2157789468765259
20,902,1.1026686429977417,,,
21,945,,,1.1746959686279297,1.1746959686279297
21,945,1.0906707048416138,,,
22,949,,1.2223961353302002,,
22,988,,,1.2476575374603271,1.2476575374603271
22,988,1.0926014184951782,,,
23,999,,0.9350866675376892,,
23,1031,,,1.1906956434249878,1.1906956434249878
23,1031,1.0999497175216675,,,
24,1049,,0.7866387367248535,,
24,1074,,,1.1792271137237549,1.1792271137237549
24,1074,1.0871015787124634,,,
25,1099,,1.149017572402954,,
25,1117,,,1.1742000579833984,1.1742000579833984
25,1117,1.0855835676193237,,,
26,1149,,1.1632403135299683,,
26,1160,,,1.1967804431915283,1.1967804431915283
26,1160,1.082608699798584,,,
27,1199,,1.1823441982269287,,
27,1203,,,1.1764650344848633,1.1764650344848633
27,1203,1.0668045282363892,,,
28,1246,,,1.185637354850769,1.185637354850769
28,1246,1.0675607919692993,,,
29,1249,,1.0949832201004028,,
29,1289,,,1.22996985912323,1.22996985912323
29,1289,1.0647825002670288,,,
30,1299,,0.8585727214813232,,
30,1332,,,1.2056117057800293,1.2056117057800293
30,1332,1.0656808614730835,,,
31,1349,,1.0265578031539917,,
31,1375,,,1.1787551641464233,1.1787551641464233
31,1375,1.0534570217132568,,,
32,1399,,0.7952191233634949,,
32,1418,,,1.2177512645721436,1.2177512645721436
32,1418,1.0573313236236572,,,
33,1449,,1.0648820400238037,,
33,1461,,,1.1837211847305298,1.1837211847305298
33,1461,1.0488252639770508,,,
34,1499,,1.0229582786560059,,
34,1504,,,1.1796939373016357,1.1796939373016357
34,1504,1.0550674200057983,,,
35,1547,,,1.2088338136672974,1.2088338136672974
35,1547,1.051300048828125,,,
36,1549,,0.9903380870819092,,
36,1590,,,1.2056323289871216,1.2056323289871216
36,1590,1.0508816242218018,,,
37,1599,,1.047598123550415,,
37,1633,,,1.2025316953659058,1.2025316953659058
37,1633,1.0387537479400635,,,
38,1649,,0.9083050489425659,,
38,1676,,,1.2062805891036987,1.2062805891036987
38,1676,1.03761887550354,,,
39,1699,,0.8749751448631287,,
39,1719,,,1.1865934133529663,1.1865934133529663
39,1719,1.038947582244873,,,
40,1749,,1.2363139390945435,,
40,1762,,,1.1873151063919067,1.1873151063919067
40,1762,1.0450835227966309,,,
41,1799,,1.179092288017273,,
41,1805,,,1.2326414585113525,1.2326414585113525
41,1805,1.0296015739440918,,,
42,1848,,,1.21272611618042,1.21272611618042
42,1848,1.0263915061950684,,,
43,1849,,0.8545053601264954,,
43,1891,,,1.1948491334915161,1.1948491334915161
43,1891,1.0297584533691406,,,
44,1899,,1.2469391822814941,,
44,1934,,,1.233267068862915,1.233267068862915
44,1934,1.0244022607803345,,,
45,1949,,1.0543701648712158,,
45,1977,,,1.184497356414795,1.184497356414795
45,1977,1.0198055505752563,,,
46,1999,,0.9692119359970093,,
46,2020,,,1.2183655500411987,1.2183655500411987
46,2020,1.0348966121673584,,,
47,2049,,1.054580807685852,,
47,2063,,,1.1997849941253662,1.1997849941253662
47,2063,1.025067687034607,,,
48,2099,,1.0714529752731323,,
48,2106,,,1.1890630722045898,1.1890630722045898
48,2106,1.0189763307571411,,,
49,2149,,0.9696852564811707,,
49,2149,,,1.1875501871109009,1.1875501871109009
49,2149,1.013368010520935,,,
