epoch,step,train_loss_epoch,train_loss_step
0,49,,1.4639954566955566
0,52,4.124413013458252,
1,99,,1.278619408607483
1,105,1.2375887632369995,
2,149,,1.2524440288543701
2,158,1.2138348817825317,
3,199,,0.6533482074737549
3,211,1.2143950462341309,
4,249,,0.958350419998169
4,264,1.1772377490997314,
5,299,,1.579871654510498
5,317,1.174871802330017,
6,349,,1.2316296100616455
6,370,1.1906877756118774,
7,399,,1.2385563850402832
7,423,1.1476054191589355,
8,449,,1.4589927196502686
8,476,1.165781855583191,
9,499,,1.0450364351272583
9,529,1.1628860235214233,
10,549,,1.0712854862213135
10,582,1.1781048774719238,
11,599,,1.2759013175964355
11,635,1.1489506959915161,
12,649,,1.0253970623016357
12,688,1.1359469890594482,
13,699,,0.9448321461677551
13,741,1.118666410446167,
14,749,,1.2069483995437622
14,794,1.1249048709869385,
15,799,,1.1551170349121094
15,847,1.1326625347137451,
16,849,,0.9794824123382568
16,899,,1.151354193687439
16,900,1.124323844909668,
17,949,,0.745393693447113
17,953,1.1072492599487305,
18,999,,1.0698533058166504
18,1006,1.0933306217193604,
19,1049,,0.9173278212547302
19,1059,1.0957950353622437,
20,1099,,1.177290916442871
20,1112,1.1048026084899902,
21,1149,,1.2418383359909058
21,1165,1.0858099460601807,
22,1199,,0.8011523485183716
22,1218,1.0833334922790527,
23,1249,,1.2749079465866089
23,1271,1.0899018049240112,
24,1299,,0.9318206310272217
24,1324,1.070204257965088,
25,1349,,1.2711899280548096
25,1377,1.0816690921783447,
26,1399,,1.3783549070358276
26,1430,1.0579320192337036,
27,1449,,0.9854534268379211
27,1483,1.0587513446807861,
28,1499,,1.1524463891983032
28,1536,1.0732067823410034,
29,1549,,0.9280583262443542
29,1589,1.059000015258789,
30,1599,,0.8766553997993469
30,1642,1.0415318012237549,
31,1649,,0.9986622333526611
31,1695,1.0471789836883545,
32,1699,,0.9341087341308594
32,1748,1.0530630350112915,
33,1749,,0.8576845526695251
33,1799,,1.0090174674987793
33,1801,1.0315053462982178,
34,1849,,0.9673502445220947
34,1854,1.0265328884124756,
35,1899,,0.9446588158607483
35,1907,1.042098879814148,
36,1949,,0.9443745613098145
36,1960,1.0264627933502197,
37,1999,,1.202261209487915
37,2013,1.0201709270477295,
38,2049,,0.839038610458374
38,2066,1.0124969482421875,
39,2099,,1.1173584461212158
39,2119,1.0026123523712158,
40,2149,,1.195160984992981
40,2172,1.001846194267273,
41,2199,,0.9596621990203857
41,2225,1.0009217262268066,
42,2249,,0.8227677941322327
42,2278,1.0026954412460327,
43,2299,,1.1608585119247437
43,2331,0.9920552372932434,
44,2349,,1.1435290575027466
44,2384,0.9882468581199646,
45,2399,,0.7648134827613831
45,2437,0.9811350703239441,
46,2449,,1.009542465209961
46,2490,0.9824399352073669,
47,2499,,0.8239749073982239
47,2543,0.9798732995986938,
48,2549,,0.8468102216720581
48,2596,0.9709102511405945,
49,2599,,1.1009653806686401
49,2649,,1.1804194450378418
49,2649,0.9689169526100159,
