epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.6482911109924316,1.6482911109924316
0,42,4.41556978225708,,,
1,49,,1.5976386070251465,,
1,85,,,1.24382746219635,1.24382746219635
1,85,1.2671668529510498,,,
2,99,,1.217604160308838,,
2,128,,,1.0975161790847778,1.0975161790847778
2,128,1.2366055250167847,,,
3,149,,1.2811192274093628,,
3,171,,,1.0834773778915405,1.0834773778915405
3,171,1.2248257398605347,,,
4,199,,1.278228521347046,,
4,214,,,1.045648455619812,1.045648455619812
4,214,1.1968729496002197,,,
5,249,,1.0785977840423584,,
5,257,,,1.0375396013259888,1.0375396013259888
5,257,1.24383544921875,,,
6,299,,1.5036548376083374,,
6,300,,,1.0935389995574951,1.0935389995574951
6,300,1.2179591655731201,,,
7,343,,,1.0157994031906128,1.0157994031906128
7,343,1.1787810325622559,,,
8,349,,1.0031518936157227,,
8,386,,,1.0198899507522583,1.0198899507522583
8,386,1.1964653730392456,,,
9,399,,1.2378557920455933,,
9,429,,,1.0176546573638916,1.0176546573638916
9,429,1.1781877279281616,,,
10,449,,1.081444263458252,,
10,472,,,1.0252890586853027,1.0252890586853027
10,472,1.1819902658462524,,,
11,499,,1.0893725156784058,,
11,515,,,1.1139739751815796,1.1139739751815796
11,515,1.1719424724578857,,,
12,549,,1.087641954421997,,
12,558,,,1.099680781364441,1.099680781364441
12,558,1.1549853086471558,,,
13,599,,0.9908901453018188,,
13,601,,,1.0126116275787354,1.0126116275787354
13,601,1.1493033170700073,,,
14,644,,,1.0259171724319458,1.0259171724319458
14,644,1.1686698198318481,,,
15,649,,1.3902413845062256,,
15,687,,,1.0078681707382202,1.0078681707382202
15,687,1.1363424062728882,,,
16,699,,1.4203743934631348,,
16,730,,,1.0539214611053467,1.0539214611053467
16,730,1.1307685375213623,,,
17,749,,1.0886062383651733,,
17,773,,,1.0611368417739868,1.0611368417739868
17,773,1.141784906387329,,,
18,799,,1.0323591232299805,,
18,816,,,1.0216782093048096,1.0216782093048096
18,816,1.1378525495529175,,,
19,849,,1.1089975833892822,,
19,859,,,1.0116055011749268,1.0116055011749268
19,859,1.1316618919372559,,,
20,899,,1.2165091037750244,,
20,902,,,0.9967186450958252,0.9967186450958252
20,902,1.128692865371704,,,
21,945,,,0.9982017278671265,0.9982017278671265
21,945,1.1219162940979004,,,
22,949,,1.0395663976669312,,
22,988,,,1.0107043981552124,1.0107043981552124
22,988,1.1112626791000366,,,
23,999,,1.2398346662521362,,
23,1031,,,1.0194181203842163,1.0194181203842163
23,1031,1.1119656562805176,,,
24,1049,,1.0872523784637451,,
24,1074,,,1.0051864385604858,1.0051864385604858
24,1074,1.1138379573822021,,,
25,1099,,1.1034051179885864,,
25,1117,,,1.01809823513031,1.01809823513031
25,1117,1.0897728204727173,,,
26,1149,,1.3241944313049316,,
26,1160,,,1.0055344104766846,1.0055344104766846
26,1160,1.1144870519638062,,,
27,1199,,1.1251857280731201,,
27,1203,,,1.0061389207839966,1.0061389207839966
27,1203,1.1129100322723389,,,
28,1246,,,1.0504177808761597,1.0504177808761597
28,1246,1.0901957750320435,,,
29,1249,,1.336449146270752,,
29,1289,,,1.0103257894515991,1.0103257894515991
29,1289,1.0801407098770142,,,
30,1299,,0.8889325857162476,,
30,1332,,,1.007574200630188,1.007574200630188
30,1332,1.0820404291152954,,,
31,1349,,0.9981815218925476,,
31,1375,,,1.0050607919692993,1.0050607919692993
31,1375,1.080270767211914,,,
32,1399,,0.783484935760498,,
32,1418,,,1.0188857316970825,1.0188857316970825
32,1418,1.0655827522277832,,,
33,1449,,1.044520378112793,,
33,1461,,,1.0256333351135254,1.0256333351135254
33,1461,1.083624243736267,,,
34,1499,,0.7062119245529175,,
34,1504,,,0.9991664886474609,0.9991664886474609
34,1504,1.0606772899627686,,,
35,1547,,,1.0067437887191772,1.0067437887191772
35,1547,1.0691256523132324,,,
36,1549,,1.0862207412719727,,
36,1590,,,1.0380042791366577,1.0380042791366577
36,1590,1.0506117343902588,,,
37,1599,,0.864713191986084,,
37,1633,,,1.007696509361267,1.007696509361267
37,1633,1.0537649393081665,,,
38,1649,,0.5959266424179077,,
38,1676,,,1.0277783870697021,1.0277783870697021
38,1676,1.0796260833740234,,,
39,1699,,0.8159762620925903,,
39,1719,,,1.0431709289550781,1.0431709289550781
39,1719,1.0608984231948853,,,
40,1749,,1.3403539657592773,,
40,1762,,,1.005631446838379,1.005631446838379
40,1762,1.0483174324035645,,,
41,1799,,0.8352981805801392,,
41,1805,,,1.015028476715088,1.015028476715088
41,1805,1.0576021671295166,,,
42,1848,,,1.0252416133880615,1.0252416133880615
42,1848,1.0365303754806519,,,
43,1849,,1.0224589109420776,,
43,1891,,,1.0440748929977417,1.0440748929977417
43,1891,1.0355186462402344,,,
44,1899,,1.1430354118347168,,
44,1934,,,1.0106688737869263,1.0106688737869263
44,1934,1.0253539085388184,,,
45,1949,,0.7791255712509155,,
45,1977,,,1.0154279470443726,1.0154279470443726
45,1977,1.031058669090271,,,
46,1999,,1.1877597570419312,,
46,2020,,,1.0251755714416504,1.0251755714416504
46,2020,1.0276707410812378,,,
47,2049,,1.0239531993865967,,
47,2063,,,1.0927681922912598,1.0927681922912598
47,2063,1.0217186212539673,,,
48,2099,,0.8625941276550293,,
48,2106,,,1.1082055568695068,1.1082055568695068
48,2106,1.0145677328109741,,,
49,2149,,1.0614013671875,,
49,2149,,,1.023863673210144,1.023863673210144
49,2149,1.0177814960479736,,,
