epoch,step,train_loss_epoch,train_loss_step
0,49,,1.1259344816207886
0,52,4.304077625274658,
1,99,,1.4124373197555542
1,105,1.2687877416610718,
2,149,,1.2921607494354248
2,158,1.2104066610336304,
3,199,,0.8782846927642822
3,211,1.2390248775482178,
4,249,,1.0961211919784546
4,264,1.181583285331726,
5,299,,1.5928617715835571
5,317,1.1712669134140015,
6,349,,1.168755054473877
6,370,1.179686188697815,
7,399,,1.3719940185546875
7,423,1.1607820987701416,
8,449,,1.1068768501281738
8,476,1.1511465311050415,
9,499,,1.1149756908416748
9,529,1.1499824523925781,
10,549,,1.0486671924591064
10,582,1.152574896812439,
11,599,,1.0588797330856323
11,635,1.1558765172958374,
12,649,,0.9278159141540527
12,688,1.1278352737426758,
13,699,,1.323013424873352
13,741,1.1168280839920044,
14,749,,1.0961154699325562
14,794,1.1333699226379395,
15,799,,1.4062196016311646
15,847,1.1176605224609375,
16,849,,1.091724157333374
16,899,,1.28120756149292
16,900,1.1013588905334473,
17,949,,1.0387834310531616
17,953,1.122153878211975,
18,999,,0.8772180676460266
18,1006,1.1015913486480713,
19,1049,,0.7779077291488647
19,1059,1.1137168407440186,
20,1099,,1.1294729709625244
20,1112,1.1013951301574707,
21,1149,,1.1375499963760376
21,1165,1.095906376838684,
22,1199,,0.74109947681427
22,1218,1.0831708908081055,
23,1249,,1.2663347721099854
23,1271,1.1213884353637695,
24,1299,,0.8387345671653748
24,1324,1.0991250276565552,
25,1349,,1.0494794845581055
25,1377,1.076170802116394,
26,1399,,1.0907738208770752
26,1430,1.0764267444610596,
27,1449,,0.8316903710365295
27,1483,1.0686678886413574,
28,1499,,1.2119337320327759
28,1536,1.0662027597427368,
29,1549,,1.0412821769714355
29,1589,1.066449522972107,
30,1599,,1.0463944673538208
30,1642,1.065232753753662,
31,1649,,1.4954050779342651
31,1695,1.0556254386901855,
32,1699,,1.1541950702667236
32,1748,1.0519057512283325,
33,1749,,0.7474410533905029
33,1799,,0.6795899271965027
33,1801,1.0468566417694092,
34,1849,,1.251410722732544
34,1854,1.0450299978256226,
35,1899,,0.9166334271430969
35,1907,1.0409338474273682,
36,1949,,0.9069120287895203
36,1960,1.0337578058242798,
37,1999,,1.021669864654541
37,2013,1.0394880771636963,
38,2049,,0.9332606792449951
38,2066,1.0313329696655273,
39,2099,,0.9365383982658386
39,2119,1.034594178199768,
40,2149,,1.2008124589920044
40,2172,1.0315779447555542,
41,2199,,0.9116761684417725
41,2225,1.0239604711532593,
42,2249,,0.8829102516174316
42,2278,1.0165808200836182,
43,2299,,0.9848891496658325
43,2331,1.0160316228866577,
44,2349,,1.2077878713607788
44,2384,1.0139291286468506,
45,2399,,1.0442029237747192
45,2437,1.003943681716919,
46,2449,,0.8520918488502502
46,2490,1.0149816274642944,
47,2499,,1.1034015417099
47,2543,1.0077193975448608,
48,2549,,0.9070589542388916
48,2596,0.9970292448997498,
49,2599,,1.0633548498153687
49,2649,,0.7709056735038757
49,2649,0.9998672604560852,
