Feature_Set,Split,Train_Size,Test_Size,R2_LGBM,R2_XGB,R2_RF,R2_Ensemble,MAE_LGBM,MAE_XGB,MAE_RF,MAE_Ensemble,RMSE_LGBM,RMSE_XGB,RMSE_RF,RMSE_Ensemble
MOE_only,0,3105,1034,0.5011754207013335,0.5173677951457625,0.5013282976017541,0.5224430273174276,0.5749829128427064,0.5642322719180201,0.5714156578413196,0.5592018243789055,0.7769801214526866,0.7642652869103477,0.7768610501198858,0.7602362614191064
MOE_only,1,3105,1034,0.5876314022604854,0.5826675769907237,0.5925474894970942,0.6001103278057678,0.5525892679314967,0.5622588150275284,0.5530987353174036,0.5448012335870939,0.7606367600826339,0.7652010911295296,0.7560891679723889,0.7490393114812549
MOE_only,2,3105,1034,0.5785276917429729,0.5773500929274071,0.5692244707995722,0.5874399708304516,0.5554472086154825,0.5575460511895628,0.5630413801681585,0.5509012617756003,0.7663751422957714,0.7674450262887685,0.7747871321363395,0.758229123247619
MOE_only,3,3105,1034,0.5462611695952213,0.5566907313998174,0.5438371100036761,0.5631366584256612,0.5561186440531654,0.5541385246568307,0.5586109661482179,0.547208721800827,0.7645677623182066,0.755729567988508,0.7666073596963718,0.750215115718015
MOE_only,4,3105,1034,0.5129636182378603,0.49462048110841994,0.4740842991858387,0.5107519213819398,0.5371335222314448,0.5398307428553671,0.5556303062201938,0.531454148068199,0.728360447389445,0.7419497120933953,0.7568742324948375,0.7300123648545432
MOE_only,5,3105,1034,0.6331751888146278,0.6444169258751671,0.6330851160418887,0.6508868465242426,0.525464571311984,0.5158868837725493,0.5296600163834734,0.5117152776256423,0.7224838167137427,0.7113270306371149,0.7225725131763637,0.7048259383450458
MOE_only,6,3105,1034,0.4769193314592889,0.4777570486534509,0.4598869170617318,0.48841913253486213,0.5596542767675997,0.554074737919599,0.5691460491816983,0.5516953007452575,0.759400466576737,0.7587921304487751,0.7716651252852047,0.7510064579910526
OpenEye_only,0,3105,1034,0.3942875993686591,0.39166559883028695,0.41760973821090563,0.42165239390387477,0.6302605462999527,0.6290772707840516,0.6229748516725965,0.6135118088887743,0.8561881600234592,0.8580392873954154,0.8395431791447647,0.8366242649795164
OpenEye_only,1,3105,1034,0.5132428555206844,0.48105609023275775,0.4968137915393147,0.5146386592324652,0.6165780313364265,0.6299394612063292,0.6207448910465561,0.6107043082926307,0.8264007155661259,0.853286209880276,0.8402313506227661,0.8252149894665343
OpenEye_only,2,3105,1034,0.48532582466958774,0.47125788171414684,0.50611660462127,0.5057123194318228,0.628996055277283,0.6368683796602246,0.6168944840765832,0.6149416696661211,0.8468823379333307,0.8583785177856793,0.8296006802998802,0.8299401598836159
