epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.3290765285491943,1.3290765285491943
0,42,4.365595817565918,,,
1,49,,1.5927845239639282,,
1,85,,,1.1302247047424316,1.1302247047424316
1,85,1.2958760261535645,,,
2,99,,1.5015971660614014,,
2,128,,,1.1461591720581055,1.1461591720581055
2,128,1.2415257692337036,,,
3,149,,1.5478004217147827,,
3,171,,,1.143580675125122,1.143580675125122
3,171,1.2163861989974976,,,
4,199,,1.1524959802627563,,
4,214,,,1.0871899127960205,1.0871899127960205
4,214,1.1997755765914917,,,
5,249,,0.8043983578681946,,
5,257,,,1.0836429595947266,1.0836429595947266
5,257,1.230836033821106,,,
6,299,,1.1541759967803955,,
6,300,,,1.1342344284057617,1.1342344284057617
6,300,1.1791319847106934,,,
7,343,,,1.1091017723083496,1.1091017723083496
7,343,1.1878910064697266,,,
8,349,,1.2777589559555054,,
8,386,,,1.1030099391937256,1.1030099391937256
8,386,1.1878467798233032,,,
9,399,,1.34818696975708,,
9,429,,,1.0795634984970093,1.0795634984970093
9,429,1.167986512184143,,,
10,449,,1.3880783319473267,,
10,472,,,1.089525580406189,1.089525580406189
10,472,1.1635524034500122,,,
11,499,,1.2611700296401978,,
11,515,,,1.1123555898666382,1.1123555898666382
11,515,1.141889214515686,,,
12,549,,1.0053521394729614,,
12,558,,,1.0805922746658325,1.0805922746658325
12,558,1.1412558555603027,,,
13,599,,1.1404627561569214,,
13,601,,,1.0947086811065674,1.0947086811065674
13,601,1.1389566659927368,,,
14,644,,,1.0902971029281616,1.0902971029281616
14,644,1.1556720733642578,,,
15,649,,1.2096621990203857,,
15,687,,,1.0974503755569458,1.0974503755569458
15,687,1.1318589448928833,,,
16,699,,1.4743380546569824,,
16,730,,,1.2575076818466187,1.2575076818466187
16,730,1.1399576663970947,,,
17,749,,1.0202747583389282,,
17,773,,,1.0958245992660522,1.0958245992660522
17,773,1.1597038507461548,,,
18,799,,1.0141493082046509,,
18,816,,,1.117480993270874,1.117480993270874
18,816,1.122530460357666,,,
19,849,,0.9587721228599548,,
19,859,,,1.0900754928588867,1.0900754928588867
19,859,1.149991512298584,,,
20,899,,1.1087193489074707,,
20,902,,,1.1143596172332764,1.1143596172332764
20,902,1.1004109382629395,,,
21,945,,,1.0905674695968628,1.0905674695968628
21,945,1.115272045135498,,,
22,949,,1.2685225009918213,,
22,988,,,1.1268291473388672,1.1268291473388672
22,988,1.0965391397476196,,,
23,999,,1.2072594165802002,,
23,1031,,,1.1036837100982666,1.1036837100982666
23,1031,1.1355689764022827,,,
24,1049,,1.0169901847839355,,
24,1074,,,1.0960912704467773,1.0960912704467773
24,1074,1.091785192489624,,,
25,1099,,1.0941214561462402,,
25,1117,,,1.1083576679229736,1.1083576679229736
25,1117,1.0958905220031738,,,
26,1149,,1.1330610513687134,,
26,1160,,,1.0991344451904297,1.0991344451904297
26,1160,1.0960701704025269,,,
27,1199,,1.1222865581512451,,
27,1203,,,1.0964484214782715,1.0964484214782715
27,1203,1.105018138885498,,,
28,1246,,,1.113140344619751,1.113140344619751
28,1246,1.0783991813659668,,,
29,1249,,1.0096423625946045,,
29,1289,,,1.1252557039260864,1.1252557039260864
29,1289,1.0790590047836304,,,
30,1299,,1.3629919290542603,,
30,1332,,,1.1329035758972168,1.1329035758972168
30,1332,1.1083754301071167,,,
31,1349,,0.9855630993843079,,
31,1375,,,1.118880271911621,1.118880271911621
31,1375,1.0665233135223389,,,
32,1399,,1.2026770114898682,,
32,1418,,,1.1154693365097046,1.1154693365097046
32,1418,1.0619189739227295,,,
33,1449,,1.194037675857544,,
33,1461,,,1.1275591850280762,1.1275591850280762
33,1461,1.0600732564926147,,,
34,1499,,0.8412618041038513,,
34,1504,,,1.148553729057312,1.148553729057312
34,1504,1.0586268901824951,,,
35,1547,,,1.1099283695220947,1.1099283695220947
35,1547,1.0535268783569336,,,
36,1549,,1.4445905685424805,,
36,1590,,,1.136507272720337,1.136507272720337
36,1590,1.0564090013504028,,,
37,1599,,1.1837737560272217,,
37,1633,,,1.1127667427062988,1.1127667427062988
37,1633,1.0437841415405273,,,
38,1649,,0.88938307762146,,
38,1676,,,1.1251236200332642,1.1251236200332642
38,1676,1.0350074768066406,,,
39,1699,,1.0454068183898926,,
39,1719,,,1.13054358959198,1.13054358959198
39,1719,1.0426183938980103,,,
40,1749,,1.1563427448272705,,
40,1762,,,1.1080684661865234,1.1080684661865234
40,1762,1.0379451513290405,,,
41,1799,,1.0774890184402466,,
41,1805,,,1.1201871633529663,1.1201871633529663
41,1805,1.0422965288162231,,,
42,1848,,,1.1158961057662964,1.1158961057662964
42,1848,1.047053575515747,,,
43,1849,,1.0652670860290527,,
43,1891,,,1.1149826049804688,1.1149826049804688
43,1891,1.022414207458496,,,
44,1899,,1.0674747228622437,,
44,1934,,,1.1218481063842773,1.1218481063842773
44,1934,1.0257556438446045,,,
45,1949,,1.0213035345077515,,
45,1977,,,1.1250003576278687,1.1250003576278687
45,1977,1.0219403505325317,,,
46,1999,,1.1322628259658813,,
46,2020,,,1.1245079040527344,1.1245079040527344
46,2020,1.0168923139572144,,,
47,2049,,1.1719684600830078,,
47,2063,,,1.1409540176391602,1.1409540176391602
47,2063,1.006540060043335,,,
48,2099,,1.111332654953003,,
48,2106,,,1.1795297861099243,1.1795297861099243
48,2106,1.0105705261230469,,,
49,2149,,0.878775417804718,,
49,2149,,,1.1251609325408936,1.1251609325408936
49,2149,1.010519027709961,,,
