epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,42,,,1.4807161092758179,1.4807161092758179
0,42,4.515261173248291,,,
1,49,,1.161949634552002,,
1,85,,,1.2246018648147583,1.2246018648147583
1,85,1.2428792715072632,,,
2,99,,1.2313028573989868,,
2,128,,,1.217185139656067,1.217185139656067
2,128,1.1821006536483765,,,
3,149,,1.2489933967590332,,
3,171,,,1.2068947553634644,1.2068947553634644
3,171,1.166499376296997,,,
4,199,,1.1383260488510132,,
4,214,,,1.2427709102630615,1.2427709102630615
4,214,1.1628873348236084,,,
5,249,,1.1580215692520142,,
5,257,,,1.2064368724822998,1.2064368724822998
5,257,1.1869256496429443,,,
6,299,,0.9991399645805359,,
6,300,,,1.2071170806884766,1.2071170806884766
6,300,1.1800280809402466,,,
7,343,,,1.2057268619537354,1.2057268619537354
7,343,1.145503044128418,,,
8,349,,1.4106042385101318,,
8,386,,,1.2032123804092407,1.2032123804092407
8,386,1.163196325302124,,,
9,399,,1.2322427034378052,,
9,429,,,1.1763452291488647,1.1763452291488647
9,429,1.1477457284927368,,,
10,449,,1.0365408658981323,,
10,472,,,1.1856122016906738,1.1856122016906738
10,472,1.135299563407898,,,
11,499,,1.3504672050476074,,
11,515,,,1.217259168624878,1.217259168624878
11,515,1.1872886419296265,,,
12,549,,1.2761324644088745,,
12,558,,,1.1810665130615234,1.1810665130615234
12,558,1.1271264553070068,,,
13,599,,1.2580338716506958,,
13,601,,,1.338719129562378,1.338719129562378
13,601,1.1644171476364136,,,
14,644,,,1.1744316816329956,1.1744316816329956
14,644,1.1830769777297974,,,
15,649,,1.4629653692245483,,
15,687,,,1.2143900394439697,1.2143900394439697
15,687,1.1334028244018555,,,
16,699,,1.287785291671753,,
16,730,,,1.2436518669128418,1.2436518669128418
16,730,1.1415753364562988,,,
17,749,,1.9551087617874146,,
17,773,,,1.1666278839111328,1.1666278839111328
17,773,1.1283067464828491,,,
18,799,,1.1758712530136108,,
18,816,,,1.1678085327148438,1.1678085327148438
18,816,1.126938819885254,,,
19,849,,1.2853323221206665,,
19,859,,,1.1649999618530273,1.1649999618530273
19,859,1.0967862606048584,,,
20,899,,1.0674052238464355,,
20,902,,,1.1541621685028076,1.1541621685028076
20,902,1.1042126417160034,,,
21,945,,,1.165017008781433,1.165017008781433
21,945,1.0932000875473022,,,
22,949,,1.122154951095581,,
22,988,,,1.204235315322876,1.204235315322876
22,988,1.1039091348648071,,,
23,999,,1.175927758216858,,
23,1031,,,1.153206706047058,1.153206706047058
23,1031,1.0939042568206787,,,
24,1049,,0.9337283372879028,,
24,1074,,,1.1592129468917847,1.1592129468917847
24,1074,1.075407862663269,,,
25,1099,,0.8704074025154114,,
25,1117,,,1.1501284837722778,1.1501284837722778
25,1117,1.0688271522521973,,,
26,1149,,0.9197220802307129,,
26,1160,,,1.153125286102295,1.153125286102295
26,1160,1.070272445678711,,,
27,1199,,1.0165590047836304,,
27,1203,,,1.1612919569015503,1.1612919569015503
27,1203,1.069431185722351,,,
28,1246,,,1.1615345478057861,1.1615345478057861
28,1246,1.0772837400436401,,,
29,1249,,0.9630906581878662,,
29,1289,,,1.1639328002929688,1.1639328002929688
29,1289,1.063265085220337,,,
30,1299,,1.156308650970459,,
30,1332,,,1.151388168334961,1.151388168334961
30,1332,1.0705925226211548,,,
31,1349,,1.0532431602478027,,
31,1375,,,1.1538668870925903,1.1538668870925903
31,1375,1.0579804182052612,,,
32,1399,,0.9265994429588318,,
32,1418,,,1.1552486419677734,1.1552486419677734
32,1418,1.0515096187591553,,,
33,1449,,0.884488582611084,,
33,1461,,,1.1495999097824097,1.1495999097824097
33,1461,1.0432322025299072,,,
34,1499,,1.0339248180389404,,
34,1504,,,1.1468762159347534,1.1468762159347534
34,1504,1.0411303043365479,,,
35,1547,,,1.1591167449951172,1.1591167449951172
35,1547,1.0389231443405151,,,
36,1549,,1.0578923225402832,,
36,1590,,,1.1513314247131348,1.1513314247131348
36,1590,1.0315132141113281,,,
37,1599,,0.9969102740287781,,
37,1633,,,1.1530752182006836,1.1530752182006836
37,1633,1.0316132307052612,,,
38,1649,,0.9265161156654358,,
38,1676,,,1.1844940185546875,1.1844940185546875
38,1676,1.0270140171051025,,,
39,1699,,1.506406545639038,,
39,1719,,,1.1605637073516846,1.1605637073516846
39,1719,1.0256301164627075,,,
40,1749,,0.8745841383934021,,
40,1762,,,1.1589407920837402,1.1589407920837402
40,1762,1.0280659198760986,,,
41,1799,,1.1441324949264526,,
41,1805,,,1.163694143295288,1.163694143295288
41,1805,1.0268985033035278,,,
42,1848,,,1.1492334604263306,1.1492334604263306
42,1848,1.0157527923583984,,,
43,1849,,0.9375978112220764,,
43,1891,,,1.1695901155471802,1.1695901155471802
43,1891,1.0107923746109009,,,
44,1899,,0.8818370699882507,,
44,1934,,,1.159180998802185,1.159180998802185
44,1934,1.0266541242599487,,,
45,1949,,0.9966490864753723,,
45,1977,,,1.1617573499679565,1.1617573499679565
45,1977,1.0045621395111084,,,
46,1999,,1.2055538892745972,,
46,2020,,,1.175209641456604,1.175209641456604
46,2020,1.0067696571350098,,,
47,2049,,0.8415336608886719,,
47,2063,,,1.156579613685608,1.156579613685608
47,2063,1.017552375793457,,,
48,2099,,1.1668375730514526,,
48,2106,,,1.160925030708313,1.160925030708313
48,2106,0.9987859725952148,,,
49,2149,,0.9260010719299316,,
49,2149,,,1.1697180271148682,1.1697180271148682
49,2149,0.9964626431465149,,,
